Year,Region,Ethnic Group,Measure,Value,Flags
"1998","Manawatu-Wanganui Region","Maori","Average Weekly Income",290,
"1999","Manawatu-Wanganui Region","Maori","Average Weekly Income",324,
"2000","Manawatu-Wanganui Region","Maori","Average Weekly Income",341,
"2001","Manawatu-Wanganui Region","Maori","Average Weekly Income",343,
"2002","Manawatu-Wanganui Region","Maori","Average Weekly Income",375,
"2003","Manawatu-Wanganui Region","Maori","Average Weekly Income",374,
"2004","Manawatu-Wanganui Region","Maori","Average Weekly Income",436,
"2005","Manawatu-Wanganui Region","Maori","Average Weekly Income",488,
"2006","Manawatu-Wanganui Region","Maori","Average Weekly Income",493,
"2007","Manawatu-Wanganui Region","Maori","Average Weekly Income",447,
"2008","Manawatu-Wanganui Region","Maori","Average Weekly Income",504,
"1998","Wellington Region","Maori","Average Weekly Income",373,
"1999","Wellington Region","Maori","Average Weekly Income",384,
"2000","Wellington Region","Maori","Average Weekly Income",434,
"2001","Wellington Region","Maori","Average Weekly Income",469,
"2002","Wellington Region","Maori","Average Weekly Income",473,
"2003","Wellington Region","Maori","Average Weekly Income",500,
"2004","Wellington Region","Maori","Average Weekly Income",503,
"2005","Wellington Region","Maori","Average Weekly Income",530,
"2006","Wellington Region","Maori","Average Weekly Income",591,
"2007","Wellington Region","Maori","Average Weekly Income",553,
"2008","Wellington Region","Maori","Average Weekly Income",587,
"1998","Tasman/Nelson/Marlborough/West Coast Regions","Maori","Average Weekly Income",329,
"1999","Tasman/Nelson/Marlborough/West Coast Regions","Maori","Average Weekly Income",459,
"2000","Tasman/Nelson/Marlborough/West Coast Regions","Maori","Average Weekly Income",408,
"2001","Tasman/Nelson/Marlborough/West Coast Regions","Maori","Average Weekly Income",433,
"2002","Tasman/Nelson/Marlborough/West Coast Regions","Maori","Average Weekly Income",410,
"2003","Tasman/Nelson/Marlborough/West Coast Regions","Maori","Average Weekly Income",471,
"2004","Tasman/Nelson/Marlborough/West Coast Regions","Maori","Average Weekly Income",410,
"2005","Tasman/Nelson/Marlborough/West Coast Regions","Maori","Average Weekly Income",442,
"2006","Tasman/Nelson/Marlborough/West Coast Regions","Maori","Average Weekly Income",521,
"2007","Tasman/Nelson/Marlborough/West Coast Regions","Maori","Average Weekly Income",598,
"2008","Tasman/Nelson/Marlborough/West Coast Regions","Maori","Average Weekly Income",581,
"1998","Canterbury Region","Maori","Average Weekly Income",330,
"1999","Canterbury Region","Maori","Average Weekly Income",339,
"2000","Canterbury Region","Maori","Average Weekly Income",343,
"2001","Canterbury Region","Maori","Average Weekly Income",382,
"2002","Canterbury Region","Maori","Average Weekly Income",465,
"2003","Canterbury Region","Maori","Average Weekly Income",474,
"2004","Canterbury Region","Maori","Average Weekly Income",442,
"2005","Canterbury Region","Maori","Average Weekly Income",498,
"2006","Canterbury Region","Maori","Average Weekly Income",576,
"2007","Canterbury Region","Maori","Average Weekly Income",587,
"2008","Canterbury Region","Maori","Average Weekly Income",610,
"1998","Otago Region","Maori","Average Weekly Income",289,
"1999","Otago Region","Maori","Average Weekly Income",278,
"2000","Otago Region","Maori","Average Weekly Income",331,
"2001","Otago Region","Maori","Average Weekly Income",307,
"2002","Otago Region","Maori","Average Weekly Income",349,
"2003","Otago Region","Maori","Average Weekly Income",451,
"2004","Otago Region","Maori","Average Weekly Income",388,
"2005","Otago Region","Maori","Average Weekly Income",456,
"2006","Otago Region","Maori","Average Weekly Income",411,
"2007","Otago Region","Maori","Average Weekly Income",387,
"2008","Otago Region","Maori","Average Weekly Income",524,
"1998","Southland Region","Maori","Average Weekly Income",354,
"1999","Southland Region","Maori","Average Weekly Income",345,
"2000","Southland Region","Maori","Average Weekly Income",479,
"2001","Southland Region","Maori","Average Weekly Income",535,
"2002","Southland Region","Maori","Average Weekly Income",491,
"2003","Southland Region","Maori","Average Weekly Income",510,
"2004","Southland Region","Maori","Average Weekly Income",429,
"2005","Southland Region","Maori","Average Weekly Income",486,
"2006","Southland Region","Maori","Average Weekly Income",532,
"2007","Southland Region","Maori","Average Weekly Income",542,
"2008","Southland Region","Maori","Average Weekly Income",616,
"1998","Northland Region","Pacific Peoples","Average Weekly Income",240,
"1999","Northland Region","Pacific Peoples","Average Weekly Income",287,
"2000","Northland Region","Pacific Peoples","Average Weekly Income",403,
"2001","Northland Region","Pacific Peoples","Average Weekly Income",,s
"2002","Northland Region","Pacific Peoples","Average Weekly Income",,s
"2003","Northland Region","Pacific Peoples","Average Weekly Income",272,
"2004","Northland Region","Pacific Peoples","Average Weekly Income",412,
"2005","Northland Region","Pacific Peoples","Average Weekly Income",,s
"2006","Northland Region","Pacific Peoples","Average Weekly Income",476,
"2007","Northland Region","Pacific Peoples","Average Weekly Income",599,
"2008","Northland Region","Pacific Peoples","Average Weekly Income",,s
"1998","Auckland Region","Pacific Peoples","Average Weekly Income",313,
"1999","Auckland Region","Pacific Peoples","Average Weekly Income",331,
"2000","Auckland Region","Pacific Peoples","Average Weekly Income",346,
"2001","Auckland Region","Pacific Peoples","Average Weekly Income",339,
"2002","Auckland Region","Pacific Peoples","Average Weekly Income",356,
"2003","Auckland Region","Pacific Peoples","Average Weekly Income",369,
"2004","Auckland Region","Pacific Peoples","Average Weekly Income",391,
"2005","Auckland Region","Pacific Peoples","Average Weekly Income",419,
"2006","Auckland Region","Pacific Peoples","Average Weekly Income",419,
"2007","Auckland Region","Pacific Peoples","Average Weekly Income",462,
"2008","Auckland Region","Pacific Peoples","Average Weekly Income",487,
"1998","Waikato Region","Pacific Peoples","Average Weekly Income",265,
"1999","Waikato Region","Pacific Peoples","Average Weekly Income",286,
"2000","Waikato Region","Pacific Peoples","Average Weekly Income",421,
"2001","Waikato Region","Pacific Peoples","Average Weekly Income",389,
"2002","Waikato Region","Pacific Peoples","Average Weekly Income",483,
"2003","Waikato Region","Pacific Peoples","Average Weekly Income",399,
"2004","Waikato Region","Pacific Peoples","Average Weekly Income",404,
"2005","Waikato Region","Pacific Peoples","Average Weekly Income",377,
"2006","Waikato Region","Pacific Peoples","Average Weekly Income",477,
"2007","Waikato Region","Pacific Peoples","Average Weekly Income",452,
"2008","Waikato Region","Pacific Peoples","Average Weekly Income",455,
"1998","Bay of Plenty Region","Pacific Peoples","Average Weekly Income",242,
"1999","Bay of Plenty Region","Pacific Peoples","Average Weekly Income",312,
"2000","Bay of Plenty Region","Pacific Peoples","Average Weekly Income",271,
"2001","Bay of Plenty Region","Pacific Peoples","Average Weekly Income",379,
"2002","Bay of Plenty Region","Pacific Peoples","Average Weekly Income",352,
"2003","Bay of Plenty Region","Pacific Peoples","Average Weekly Income",391,
"2004","Bay of Plenty Region","Pacific Peoples","Average Weekly Income",393,
"2005","Bay of Plenty Region","Pacific Peoples","Average Weekly Income",443,
"2006","Bay of Plenty Region","Pacific Peoples","Average Weekly Income",448,
"2007","Bay of Plenty Region","Pacific Peoples","Average Weekly Income",485,
"2008","Bay of Plenty Region","Pacific Peoples","Average Weekly Income",383,
"1998","Gisborne/Hawkes Bay Regions","Pacific Peoples","Average Weekly Income",244,
"1999","Gisborne/Hawkes Bay Regions","Pacific Peoples","Average Weekly Income",219,
"2000","Gisborne/Hawkes Bay Regions","Pacific Peoples","Average Weekly Income",265,
"2001","Gisborne/Hawkes Bay Regions","Pacific Peoples","Average Weekly Income",358,
"2002","Gisborne/Hawkes Bay Regions","Pacific Peoples","Average Weekly Income",450,
"2003","Gisborne/Hawkes Bay Regions","Pacific Peoples","Average Weekly Income",383,
"2004","Gisborne/Hawkes Bay Regions","Pacific Peoples","Average Weekly Income",372,
"2005","Gisborne/Hawkes Bay Regions","Pacific Peoples","Average Weekly Income",438,
"2006","Gisborne/Hawkes Bay Regions","Pacific Peoples","Average Weekly Income",416,
"2007","Gisborne/Hawkes Bay Regions","Pacific Peoples","Average Weekly Income",450,
"2008","Gisborne/Hawkes Bay Regions","Pacific Peoples","Average Weekly Income",478,
"1998","Taranaki Region","Pacific Peoples","Average Weekly Income",,s
"1999","Taranaki Region","Pacific Peoples","Average Weekly Income",,s
"2000","Taranaki Region","Pacific Peoples","Average Weekly Income",,s
"2001","Taranaki Region","Pacific Peoples","Average Weekly Income",,s
"2002","Taranaki Region","Pacific Peoples","Average Weekly Income",,s
"2003","Taranaki Region","Pacific Peoples","Average Weekly Income",,s
"2004","Taranaki Region","Pacific Peoples","Average Weekly Income",355,
"2005","Taranaki Region","Pacific Peoples","Average Weekly Income",,s
"2006","Taranaki Region","Pacific Peoples","Average Weekly Income",,s
"2007","Taranaki Region","Pacific Peoples","Average Weekly Income",,s
"2008","Taranaki Region","Pacific Peoples","Average Weekly Income",,s
"1998","Manawatu-Wanganui Region","Pacific Peoples","Average Weekly Income",309,
"1999","Manawatu-Wanganui Region","Pacific Peoples","Average Weekly Income",308,
"2000","Manawatu-Wanganui Region","Pacific Peoples","Average Weekly Income",383,
"2001","Manawatu-Wanganui Region","Pacific Peoples","Average Weekly Income",396,
"2002","Manawatu-Wanganui Region","Pacific Peoples","Average Weekly Income",286,
"2003","Manawatu-Wanganui Region","Pacific Peoples","Average Weekly Income",440,
"2004","Manawatu-Wanganui Region","Pacific Peoples","Average Weekly Income",268,
"2005","Manawatu-Wanganui Region","Pacific Peoples","Average Weekly Income",322,
"2006","Manawatu-Wanganui Region","Pacific Peoples","Average Weekly Income",476,
"2007","Manawatu-Wanganui Region","Pacific Peoples","Average Weekly Income",583,
"2008","Manawatu-Wanganui Region","Pacific Peoples","Average Weekly Income",553,
"1998","Wellington Region","Pacific Peoples","Average Weekly Income",337,
"1999","Wellington Region","Pacific Peoples","Average Weekly Income",308,
"2000","Wellington Region","Pacific Peoples","Average Weekly Income",331,
"2001","Wellington Region","Pacific Peoples","Average Weekly Income",366,
"2002","Wellington Region","Pacific Peoples","Average Weekly Income",359,
"2003","Wellington Region","Pacific Peoples","Average Weekly Income",348,
"2004","Wellington Region","Pacific Peoples","Average Weekly Income",373,
"2005","Wellington Region","Pacific Peoples","Average Weekly Income",418,
"2006","Wellington Region","Pacific Peoples","Average Weekly Income",470,
"2007","Wellington Region","Pacific Peoples","Average Weekly Income",585,
"2008","Wellington Region","Pacific Peoples","Average Weekly Income",494,
"1998","Tasman/Nelson/Marlborough/West Coast Regions","Pacific Peoples","Average Weekly Income",,s
"1999","Tasman/Nelson/Marlborough/West Coast Regions","Pacific Peoples","Average Weekly Income",,s
"2000","Tasman/Nelson/Marlborough/West Coast Regions","Pacific Peoples","Average Weekly Income",,s
"2001","Tasman/Nelson/Marlborough/West Coast Regions","Pacific Peoples","Average Weekly Income",,s
"2002","Tasman/Nelson/Marlborough/West Coast Regions","Pacific Peoples","Average Weekly Income",,s
"2003","Tasman/Nelson/Marlborough/West Coast Regions","Pacific Peoples","Average Weekly Income",,s
"2004","Tasman/Nelson/Marlborough/West Coast Regions","Pacific Peoples","Average Weekly Income",,s
"2005","Tasman/Nelson/Marlborough/West Coast Regions","Pacific Peoples","Average Weekly Income",,s
"2006","Tasman/Nelson/Marlborough/West Coast Regions","Pacific Peoples","Average Weekly Income",,s
"2007","Tasman/Nelson/Marlborough/West Coast Regions","Pacific Peoples","Average Weekly Income",527,
"2008","Tasman/Nelson/Marlborough/West Coast Regions","Pacific Peoples","Average Weekly Income",,s
"1998","Canterbury Region","Pacific Peoples","Average Weekly Income",253,
"1999","Canterbury Region","Pacific Peoples","Average Weekly Income",260,
"2000","Canterbury Region","Pacific Peoples","Average Weekly Income",328,
"2001","Canterbury Region","Pacific Peoples","Average Weekly Income",403,
"2002","Canterbury Region","Pacific Peoples","Average Weekly Income",333,
"2003","Canterbury Region","Pacific Peoples","Average Weekly Income",453,
"2004","Canterbury Region","Pacific Peoples","Average Weekly Income",326,
"2005","Canterbury Region","Pacific Peoples","Average Weekly Income",381,
"2006","Canterbury Region","Pacific Peoples","Average Weekly Income",527,
"2007","Canterbury Region","Pacific Peoples","Average Weekly Income",550,
"2008","Canterbury Region","Pacific Peoples","Average Weekly Income",472,
"1998","Otago Region","Pacific Peoples","Average Weekly Income",342,
"1999","Otago Region","Pacific Peoples","Average Weekly Income",328,
"2000","Otago Region","Pacific Peoples","Average Weekly Income",192,
"2001","Otago Region","Pacific Peoples","Average Weekly Income",234,
"2002","Otago Region","Pacific Peoples","Average Weekly Income",496,
"2003","Otago Region","Pacific Peoples","Average Weekly Income",413,
"2004","Otago Region","Pacific Peoples","Average Weekly Income",329,
"2005","Otago Region","Pacific Peoples","Average Weekly Income",471,
"2006","Otago Region","Pacific Peoples","Average Weekly Income",371,
"2007","Otago Region","Pacific Peoples","Average Weekly Income",328,
"2008","Otago Region","Pacific Peoples","Average Weekly Income",504,
"1998","Southland Region","Pacific Peoples","Average Weekly Income",,s
"1999","Southland Region","Pacific Peoples","Average Weekly Income",,s
"2000","Southland Region","Pacific Peoples","Average Weekly Income",,s
"2001","Southland Region","Pacific Peoples","Average Weekly Income",,s
"2002","Southland Region","Pacific Peoples","Average Weekly Income",,s
"2003","Southland Region","Pacific Peoples","Average Weekly Income",341,
"2004","Southland Region","Pacific Peoples","Average Weekly Income",,s
"2005","Southland Region","Pacific Peoples","Average Weekly Income",,s
"2006","Southland Region","Pacific Peoples","Average Weekly Income",565,
"2007","Southland Region","Pacific Peoples","Average Weekly Income",446,
"2008","Southland Region","Pacific Peoples","Average Weekly Income",382,
"1998","Northland Region","Other Ethnic Groups","Average Weekly Income",312,
"1999","Northland Region","Other Ethnic Groups","Average Weekly Income",271,
"2000","Northland Region","Other Ethnic Groups","Average Weekly Income",398,
"2001","Northland Region","Other Ethnic Groups","Average Weekly Income",461,
"2002","Northland Region","Other Ethnic Groups","Average Weekly Income",,s
"2003","Northland Region","Other Ethnic Groups","Average Weekly Income",281,
"2004","Northland Region","Other Ethnic Groups","Average Weekly Income",443,
"2005","Northland Region","Other Ethnic Groups","Average Weekly Income",,s
"2006","Northland Region","Other Ethnic Groups","Average Weekly Income",507,
"2007","Northland Region","Other Ethnic Groups","Average Weekly Income",514,
"2008","Northland Region","Other Ethnic Groups","Average Weekly Income",552,
"1998","Auckland Region","Other Ethnic Groups","Average Weekly Income",304,
"1999","Auckland Region","Other Ethnic Groups","Average Weekly Income",330,
"2000","Auckland Region","Other Ethnic Groups","Average Weekly Income",333,
"2001","Auckland Region","Other Ethnic Groups","Average Weekly Income",338,
"2002","Auckland Region","Other Ethnic Groups","Average Weekly Income",371,
"2003","Auckland Region","Other Ethnic Groups","Average Weekly Income",402,
"2004","Auckland Region","Other Ethnic Groups","Average Weekly Income",426,
"2005","Auckland Region","Other Ethnic Groups","Average Weekly Income",419,
"2006","Auckland Region","Other Ethnic Groups","Average Weekly Income",451,
"2007","Auckland Region","Other Ethnic Groups","Average Weekly Income",506,
"2008","Auckland Region","Other Ethnic Groups","Average Weekly Income",508,
"1998","Waikato Region","Other Ethnic Groups","Average Weekly Income",246,
"1999","Waikato Region","Other Ethnic Groups","Average Weekly Income",299,
"2000","Waikato Region","Other Ethnic Groups","Average Weekly Income",371,
"2001","Waikato Region","Other Ethnic Groups","Average Weekly Income",372,
"2002","Waikato Region","Other Ethnic Groups","Average Weekly Income",382,
"2003","Waikato Region","Other Ethnic Groups","Average Weekly Income",392,
"2004","Waikato Region","Other Ethnic Groups","Average Weekly Income",400,
"2005","Waikato Region","Other Ethnic Groups","Average Weekly Income",507,
"2006","Waikato Region","Other Ethnic Groups","Average Weekly Income",546,
"2007","Waikato Region","Other Ethnic Groups","Average Weekly Income",553,
"2008","Waikato Region","Other Ethnic Groups","Average Weekly Income",625,
"1998","Bay of Plenty Region","Other Ethnic Groups","Average Weekly Income",262,
"1999","Bay of Plenty Region","Other Ethnic Groups","Average Weekly Income",339,
"2000","Bay of Plenty Region","Other Ethnic Groups","Average Weekly Income",298,
"2001","Bay of Plenty Region","Other Ethnic Groups","Average Weekly Income",281,
"2002","Bay of Plenty Region","Other Ethnic Groups","Average Weekly Income",354,
"2003","Bay of Plenty Region","Other Ethnic Groups","Average Weekly Income",470,
"2004","Bay of Plenty Region","Other Ethnic Groups","Average Weekly Income",403,
"2005","Bay of Plenty Region","Other Ethnic Groups","Average Weekly Income",628,
"2006","Bay of Plenty Region","Other Ethnic Groups","Average Weekly Income",437,
"2007","Bay of Plenty Region","Other Ethnic Groups","Average Weekly Income",439,
"2008","Bay of Plenty Region","Other Ethnic Groups","Average Weekly Income",497,
"1998","Gisborne/Hawkes Bay Regions","Other Ethnic Groups","Average Weekly Income",304,
"1999","Gisborne/Hawkes Bay Regions","Other Ethnic Groups","Average Weekly Income",335,
"2000","Gisborne/Hawkes Bay Regions","Other Ethnic Groups","Average Weekly Income",427,
"2001","Gisborne/Hawkes Bay Regions","Other Ethnic Groups","Average Weekly Income",358,
"2002","Gisborne/Hawkes Bay Regions","Other Ethnic Groups","Average Weekly Income",377,
"2003","Gisborne/Hawkes Bay Regions","Other Ethnic Groups","Average Weekly Income",400,
"2004","Gisborne/Hawkes Bay Regions","Other Ethnic Groups","Average Weekly Income",386,
"2005","Gisborne/Hawkes Bay Regions","Other Ethnic Groups","Average Weekly Income",531,
"2006","Gisborne/Hawkes Bay Regions","Other Ethnic Groups","Average Weekly Income",511,
"2007","Gisborne/Hawkes Bay Regions","Other Ethnic Groups","Average Weekly Income",534,
"2008","Gisborne/Hawkes Bay Regions","Other Ethnic Groups","Average Weekly Income",636,
"1998","Taranaki Region","Other Ethnic Groups","Average Weekly Income",264,
"1999","Taranaki Region","Other Ethnic Groups","Average Weekly Income",,s
"2000","Taranaki Region","Other Ethnic Groups","Average Weekly Income",470,
"2001","Taranaki Region","Other Ethnic Groups","Average Weekly Income",447,
"2002","Taranaki Region","Other Ethnic Groups","Average Weekly Income",,s
"2003","Taranaki Region","Other Ethnic Groups","Average Weekly Income",321,
"2004","Taranaki Region","Other Ethnic Groups","Average Weekly Income",435,
"2005","Taranaki Region","Other Ethnic Groups","Average Weekly Income",431,
"2006","Taranaki Region","Other Ethnic Groups","Average Weekly Income",645,
"2007","Taranaki Region","Other Ethnic Groups","Average Weekly Income",612,
"2008","Taranaki Region","Other Ethnic Groups","Average Weekly Income",599,
"1998","Manawatu-Wanganui Region","Other Ethnic Groups","Average Weekly Income",329,
"1999","Manawatu-Wanganui Region","Other Ethnic Groups","Average Weekly Income",258,
"2000","Manawatu-Wanganui Region","Other Ethnic Groups","Average Weekly Income",280,
"2001","Manawatu-Wanganui Region","Other Ethnic Groups","Average Weekly Income",332,
"2002","Manawatu-Wanganui Region","Other Ethnic Groups","Average Weekly Income",361,
"2003","Manawatu-Wanganui Region","Other Ethnic Groups","Average Weekly Income",323,
"2004","Manawatu-Wanganui Region","Other Ethnic Groups","Average Weekly Income",337,
"2005","Manawatu-Wanganui Region","Other Ethnic Groups","Average Weekly Income",417,
"2006","Manawatu-Wanganui Region","Other Ethnic Groups","Average Weekly Income",492,
"2007","Manawatu-Wanganui Region","Other Ethnic Groups","Average Weekly Income",522,
"2008","Manawatu-Wanganui Region","Other Ethnic Groups","Average Weekly Income",478,
"1998","Wellington Region","Other Ethnic Groups","Average Weekly Income",460,
"1999","Wellington Region","Other Ethnic Groups","Average Weekly Income",491,
"2000","Wellington Region","Other Ethnic Groups","Average Weekly Income",413,
"2001","Wellington Region","Other Ethnic Groups","Average Weekly Income",486,
"2002","Wellington Region","Other Ethnic Groups","Average Weekly Income",454,
"2003","Wellington Region","Other Ethnic Groups","Average Weekly Income",491,
"2004","Wellington Region","Other Ethnic Groups","Average Weekly Income",371,
"2005","Wellington Region","Other Ethnic Groups","Average Weekly Income",394,
"2006","Wellington Region","Other Ethnic Groups","Average Weekly Income",493,
"2007","Wellington Region","Other Ethnic Groups","Average Weekly Income",586,
"2008","Wellington Region","Other Ethnic Groups","Average Weekly Income",599,
"1998","Tasman/Nelson/Marlborough/West Coast Regions","Other Ethnic Groups","Average Weekly Income",175,
"1999","Tasman/Nelson/Marlborough/West Coast Regions","Other Ethnic Groups","Average Weekly Income",348,
"2000","Tasman/Nelson/Marlborough/West Coast Regions","Other Ethnic Groups","Average Weekly Income",325,
"2001","Tasman/Nelson/Marlborough/West Coast Regions","Other Ethnic Groups","Average Weekly Income",300,
"2002","Tasman/Nelson/Marlborough/West Coast Regions","Other Ethnic Groups","Average Weekly Income",539,
"2003","Tasman/Nelson/Marlborough/West Coast Regions","Other Ethnic Groups","Average Weekly Income",526,
"2004","Tasman/Nelson/Marlborough/West Coast Regions","Other Ethnic Groups","Average Weekly Income",356,
"2005","Tasman/Nelson/Marlborough/West Coast Regions","Other Ethnic Groups","Average Weekly Income",409,
"2006","Tasman/Nelson/Marlborough/West Coast Regions","Other Ethnic Groups","Average Weekly Income",475,
"2007","Tasman/Nelson/Marlborough/West Coast Regions","Other Ethnic Groups","Average Weekly Income",565,
"2008","Tasman/Nelson/Marlborough/West Coast Regions","Other Ethnic Groups","Average Weekly Income",681,
"1998","Canterbury Region","Other Ethnic Groups","Average Weekly Income",201,
"1999","Canterbury Region","Other Ethnic Groups","Average Weekly Income",285,
"2000","Canterbury Region","Other Ethnic Groups","Average Weekly Income",278,
"2001","Canterbury Region","Other Ethnic Groups","Average Weekly Income",304,
"2002","Canterbury Region","Other Ethnic Groups","Average Weekly Income",396,
"2003","Canterbury Region","Other Ethnic Groups","Average Weekly Income",344,
"2004","Canterbury Region","Other Ethnic Groups","Average Weekly Income",371,
"2005","Canterbury Region","Other Ethnic Groups","Average Weekly Income",353,
"2006","Canterbury Region","Other Ethnic Groups","Average Weekly Income",437,
"2007","Canterbury Region","Other Ethnic Groups","Average Weekly Income",462,
"2008","Canterbury Region","Other Ethnic Groups","Average Weekly Income",464,
"1998","Otago Region","Other Ethnic Groups","Average Weekly Income",176,
"1999","Otago Region","Other Ethnic Groups","Average Weekly Income",224,
"2000","Otago Region","Other Ethnic Groups","Average Weekly Income",118,
"2001","Otago Region","Other Ethnic Groups","Average Weekly Income",206,
"2002","Otago Region","Other Ethnic Groups","Average Weekly Income",250,
"2003","Otago Region","Other Ethnic Groups","Average Weekly Income",236,
"2004","Otago Region","Other Ethnic Groups","Average Weekly Income",312,
"2005","Otago Region","Other Ethnic Groups","Average Weekly Income",471,
"2006","Otago Region","Other Ethnic Groups","Average Weekly Income",424,
"2007","Otago Region","Other Ethnic Groups","Average Weekly Income",500,
"2008","Otago Region","Other Ethnic Groups","Average Weekly Income",376,
"1998","Southland Region","Other Ethnic Groups","Average Weekly Income",,s
"1999","Southland Region","Other Ethnic Groups","Average Weekly Income",,s
"2000","Southland Region","Other Ethnic Groups","Average Weekly Income",,s
"2001","Southland Region","Other Ethnic Groups","Average Weekly Income",,s
"2002","Southland Region","Other Ethnic Groups","Average Weekly Income",,s
"2003","Southland Region","Other Ethnic Groups","Average Weekly Income",,s
"2004","Southland Region","Other Ethnic Groups","Average Weekly Income",358,
"2005","Southland Region","Other Ethnic Groups","Average Weekly Income",547,
"2006","Southland Region","Other Ethnic Groups","Average Weekly Income",,s
"2007","Southland Region","Other Ethnic Groups","Average Weekly Income",749,
"2008","Southland Region","Other Ethnic Groups","Average Weekly Income",686,
